Date,Close,High,Low,Open,Volume,Symbol
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
2023-10-27,3266.4619140625,3277.2333562420463,3252.8636852408413,3265.535914161468,1108851,TCS.NS
2023-10-30,3293.365966796875,3297.5575976034165,3249.695470877313,3265.5357562621666,910972,TCS.NS
2023-10-31,3283.81298828125,3313.300288584184,3265.5845229637202,3313.300288584184,999811,TCS.NS
2023-11-01,3246.67333984375,3286.591046982207,3227.518875717967,3270.4094920065777,1563475,TCS.NS
2023-11-02,3275.381103515625,3290.831330946284,3258.9070643998916,3258.9070643998916,1245384,TCS.NS
2023-11-03,3266.412841796875,3302.4799517281363,3259.9793920055704,3296.7288050682514,1402598,TCS.NS
2023-11-06,3295.02294921875,3306.769177287052,3274.308730545309,3289.905318722959,1099852,TCS.NS
2023-11-07,3285.469970703125,3318.3202367487193,3281.1322172405025,3292.829658300184,1191144,TCS.NS
2023-11-08,3296.29052734375,3316.1760839327303,3284.5930851184507,3286.445084943428,992899,TCS.NS
2023-11-09,3263.0498046875,3305.9892079113683,3257.786051518633,3304.624601677971,2112352,TCS.NS
2023-11-10,3249.403076171875,3263.0500916461624,3238.5830852654417,3253.838403798031,1338557,TCS.NS
2023-11-13,3247.551025390625,3271.384515158219,3243.1156978341464,3271.384515158219,1030990,TCS.NS
2023-11-15,3318.466552734375,3326.9471497910968,3271.4330924421333,3297.801121405052,2059802,TCS.NS
2023-11-16,3409.658203125,3440.3639882215098,3328.11714213323,3343.5676085583573,3951984,TCS.NS
2023-11-17,3414.141845703125,3435.6359413942596,3404.4915519569254,3409.6579693906183,2021292,TCS.NS
2023-11-20,3430.85986328125,3444.7991247296673,3403.2245611247063,3403.2245611247063,1475621,TCS.NS
2023-11-21,3421.696044921875,3449.818734916513,3412.7280553554206,3430.8591822059875,1807236,TCS.NS
2023-11-22,3441.143310546875,3443.5802773937094,3393.33021140002,3411.7535855680703,1798051,TCS.NS
2023-11-23,3419.79541015625,3454.6440343743316,3411.753419952077,3440.9970206945236,2729804,TCS.NS
2023-11-24,3369.935546875,3416.1891330121184,3365.938825794571,3406.148781359015,1989733,TCS.NS
2023-11-28,3382.65625,3393.476478453867,3346.443016310844,3369.9354729068727,1689195,TCS.NS
2023-11-29,3425.1572265625,3429.3000705932054,3388.1641139323924,3393.232957855301,1441634,TCS.NS
2023-11-30,3399.666259765625,3427.983623592758,3393.2325722197993,3411.217339606261,3266235,TCS.NS
2023-12-01,3423.109619140625,3428.2760362465447,3402.0543692160763,3411.7534492820287,1172141,TCS.NS
2023-12-04,3423.8896484375,3458.348455002447,3409.804027595756,3455.277733970446,1625213,TCS.NS
2023-12-05,3442.55712890625,3448.7956691793693,3414.4832217071003,3448.7956691793693,1377656,TCS.NS
2023-12-06,3513.22900390625,3521.758387927568,3436.2693999772937,3443.531751617766,1896572,TCS.NS
2023-12-07,3523.7568359375,3539.0123927018753,3501.1418289542344,3514.106541461494,1967653,TCS.NS
2023-12-08,3535.259033203125,3553.0976781968425,3511.230635182451,3541.4002372809678,1641155,TCS.NS
2023-12-11,3551.05078125,3560.8962232424774,3523.8543243968124,3531.555045015439,1102503,TCS.NS
2023-12-12,3579.5146484375,3605.151350495278,3539.4508163794744,3547.200323723311,2236866,TCS.NS
2023-12-13,3502.945068359375,3557.9717342969016,3473.1652847396876,3551.6844071853598,3850968,TCS.NS
2023-12-14,3574.78662109375,3585.2655783987493,3536.1364226000255,3538.475815548521,3290396,TCS.NS
2023-12-15,3763.651611328125,3797.7203603682356,3574.250499737059,3574.250499737059,8531230,TCS.NS
2023-12-18,3761.89697265625,3829.9371353065544,3733.579370011988,3760.8248500238014,2521612,TCS.NS
2023-12-19,3719.981201171875,3757.9005490824243,3694.4418355521393,3748.0551075720255,2004435,TCS.NS
2023-12-20,3684.74267578125,3800.498601522147,3671.583054749653,3730.7525624576756,2586083,TCS.NS
2023-12-21,3692.004638671875,3710.720495777838,3648.96790091609,3661.542554194384,1517562,TCS.NS
2023-12-22,3727.584716796875,3748.981239423109,3667.147935300691,3704.189833637062,2413058,TCS.NS
2023-12-26,3699.85205078125,3737.332555284049,3694.588059320802,3723.5394173906247,1285231,TCS.NS
2023-12-27,3715.10693359375,3721.9304403287247,3672.996196769198,3703.2145837383714,1293976,TCS.NS
2023-12-28,3704.092041015625,3741.2315110325558,3696.488894825741,3727.5844966619316,1682889,TCS.NS
2023-12-29,3697.75634765625,3726.220314110956,3670.4623158115173,3696.3917412580417,1574996,TCS.NS
2024-01-01,3715.009765625,3735.3827128890694,3677.8702963806,3694.441670628803,825907,TCS.NS
2024-01-02,3687.813232421875,3715.0099258876053,3672.2654311564665,3715.0099258876053,1344068,TCS.NS
2024-01-03,3598.6689453125,3676.7494583353337,3594.08749523416,3672.021647455052,1803075,TCS.NS
2024-01-04,3574.347900390625,3625.231718266463,3558.9462230144813,3608.416647779747,3598144,TCS.NS
2024-01-05,3643.655517578125,3653.2572628392472,3582.195399668658,3582.34152249596,1963127,TCS.NS
2024-01-08,3585.55810546875,3645.45870291326,3579.8067209243477,3643.655252254201,1067805,TCS.NS
2024-01-09,3596.865966796875,3657.7415970535853,3589.89633588905,3616.410491085106,1370944,TCS.NS
2024-01-10,3619.432373046875,3635.223872472467,3595.013914776016,3596.9634884825105,1292227,TCS.NS
2024-01-11,3641.364990234375,3677.870709419166,3613.5347786421544,3630.1061547513846,1777909,TCS.NS
2024-01-12,3784.902099609375,3806.786014891647,3725.2451971746664,3750.979472582564,6813450,TCS.NS
2024-01-15,3805.372802734375,3865.029708007491,3787.0467630792186,3860.155773949474,2801505,TCS.NS
2024-01-16,3763.944091796875,3800.6935043470535,3758.3390680343728,3800.6935043470535,1432672,TCS.NS
2024-01-17,3786.656982421875,3811.367685558661,3716.423544327831,3722.710871730206,3458696,TCS.NS
2024-01-18,3804.203125,3810.2467556648635,3764.6266850588518,3799.7190104503893,2239110,TCS.NS
2024-01-19,3852.517333984375,3872.5466524988965,3825.1602160133207,3854.4225141360457,2941975,TCS.NS
2024-01-23,3769.664306640625,3843.5772818667206,3754.5201877388095,3810.4557236826117,2618854,TCS.NS
2024-01-24,3753.59228515625,3794.481265658784,3718.223485188841,3790.915165105672,2657709,TCS.NS
2024-01-25,3722.8154296875,3772.3513082504255,3691.940871351733,3751.7356695563653,2205154,TCS.NS
2024-01-29,3713.72900390625,3732.292763725829,3694.0417435116533,3713.53364361518,1646747,TCS.NS
2024-01-30,3713.28955078125,3759.4546924108186,3700.0506106069015,3720.0310316051527,1411621,TCS.NS
2024-01-31,3728.335693359375,3745.9713128444027,3709.2834135992116,3723.6947534177966,2459358,TCS.NS
2024-02-01,3765.658447265625,3815.2432249834083,3717.685928594729,3732.2926282154012,2363107,TCS.NS
2024-02-02,3875.2333984375,3892.917677485249,3783.09848827078,3786.0785076692387,2826510,TCS.NS
2024-02-05,3882.0732421875,3929.6550444719596,3871.1304414365304,3891.5504828771295,1691523,TCS.NS
2024-02-06,4041.037109375,4054.617868849802,3898.3892810459984,3905.22856048643,4474396,TCS.NS
2024-02-07,3989.64501953125,4059.6011785761307,3980.412039287007,4057.647098586443,2124267,TCS.NS
2024-02-08,4039.1806640625,4062.53182178473,3992.2338501128684,3996.0931099325503,2345173,TCS.NS
2024-02-09,4038.7900390625,4088.6677352974043,4005.8636034934843,4041.5742211306674,2100596,TCS.NS
2024-02-12,4026.089111328125,4064.095873731286,4011.286572964119,4035.175392934444,1013716,TCS.NS
2024-02-13,4054.227783203125,4074.257104701056,3987.789058234379,4030.730160273936,1257415,TCS.NS
2024-02-14,4005.961669921875,4020.4216706263323,3956.5233521058994,4012.703150289895,1391283,TCS.NS
2024-02-15,4008.990966796875,4051.1010117452643,3989.2545667479912,4033.221369467477,1091582,TCS.NS
2024-02-16,4033.51416015625,4052.7133783788563,4005.9619175856756,4018.809898550615,1307556,TCS.NS
2024-02-19,4009.57666015625,4033.5141407471942,3961.8972978073148,4028.3846806205634,772291,TCS.NS
2024-02-20,3938.106201171875,4003.909940929918,3917.930420480471,3988.375100262774,1193648,TCS.NS
2024-02-21,3899.855224609375,3970.0556451864563,3889.2055838470033,3920.86158495739,1885939,TCS.NS
2024-02-22,3993.26025390625,4000.929874736165,3879.8258152167746,3879.8258152167746,2982052,TCS.NS
2024-02-23,3959.063720703125,4035.1750382379123,3953.494402098263,4035.1750382379123,2538072,TCS.NS
2024-02-26,3909.185791015625,3957.011849489462,3891.3059119886802,3943.3332900097453,1379284,TCS.NS
2024-02-27,4010.16259765625,4029.312675719214,3907.182684335872,3907.182684335872,2960475,TCS.NS
2024-02-28,4024.37890625,4059.5032063270137,3995.116368822172,4001.564927927652,1939225,TCS.NS
2024-02-29,4001.07666015625,4043.0893807940647,3971.228039996073,4004.8870208000344,3772719,TCS.NS
2024-03-01,4000.343505859375,4044.9452829493384,3992.966806730544,4012.8985642893476,2043265,TCS.NS
2024-03-04,3987.007080078125,4023.352920369135,3982.3172403713465,4010.749199783877,1749271,TCS.NS
2024-03-05,3919.982177734375,3970.6904570049996,3888.6190991338335,3968.7363770556863,2070859,TCS.NS
2024-03-06,3970.983642578125,3978.5068027249704,3867.5638651727977,3902.346583911271,1744204,TCS.NS
2024-03-07,4014.2666015625,4029.3129220065616,3944.9943230945923,3971.667562550115,2688905,TCS.NS
2024-03-11,4027.701171875,4057.647354189298,3995.1167905803127,3995.1167905803127,2304068,TCS.NS
2024-03-12,4095.99560546875,4132.830201288492,4026.4301723222256,4027.700610460653,4039801,TCS.NS
2024-03-13,4053.7392578125,4143.6269444162,4037.0317771710033,4108.453501832143,2837260,TCS.NS
2024-03-14,4110.994140625,4127.994543449035,3992.1859655698827,4058.0875130739237,2919608,TCS.NS
2024-03-15,4122.3759765625,4141.672516359173,4081.0960369974673,4096.337956250925,3373143,TCS.NS
2024-03-18,4057.158935546875,4157.0612838092875,4023.304592161018,4118.468200617451,1526904,TCS.NS
2024-03-19,3885.981201171875,3964.82828068296,3875.5269209825756,3958.2332607483595,8931209,TCS.NS
2024-03-20,3879.727783203125,3925.7464595642887,3869.2735036036975,3894.481181638441,1817913,TCS.NS
2024-03-21,3881.730712890625,3916.366730440695,3857.353614528129,3898.4381909815875,3829582,TCS.NS
2024-03-22,3821.10546875,3847.5833469733466,3766.4890306201755,3807.524708774792,5852485,TCS.NS
2024-03-26,3788.472412109375,3856.0835290491464,3782.5612726955087,3786.0298122305167,3440925,TCS.NS
2024-03-27,3752.712890625,3805.570850743876,3741.4769304751785,3799.2200906591943,1968575,TCS.NS
2024-03-28,3787.30029296875,3825.111694192819,3752.3222124003887,3761.7018920454243,4311783,TCS.NS
2024-04-01,3826.821044921875,3842.9911030440308,3798.7800473772877,3808.2083870391257,1569676,TCS.NS
2024-04-02,3794.6279296875,3820.079868924885,3784.075850175179,3800.6855298686924,2142666,TCS.NS
2024-04-03,3856.669921875,3889.5961211619815,3762.58092504265,3762.58092504265,3973090,TCS.NS
2024-04-04,3911.38427734375,3936.1520982076913,3844.8966576768908,3884.6132382388314,3394637,TCS.NS
2024-04-05,3887.886474609375,3910.1141349215854,3869.5669743520584,3886.6651745922204,1636819,TCS.NS
2024-04-08,3881.34033203125,3940.0602933991827,3869.0784322221007,3891.550352409249,2302538,TCS.NS
2024-04-09,3855.93701171875,3923.6459270711935,3834.93065306974,3892.5271096584866,1876992,TCS.NS
2024-04-10,3893.162109375,3898.5847287599872,3828.04249265645,3865.5607310142177,2101965,TCS.NS
2024-04-12,3909.52783203125,3921.2036510727467,3854.9113904472156,3879.82591090252,4354821,TCS.NS
2024-04-15,3850.70947265625,3970.8853761893574,3829.068135035679,3909.5272248898195,4200329,TCS.NS
2024-04-16,3783.880126953125,3838.496561292703,3774.1586277719825,3812.409643983237,3051420,TCS.NS
2024-04-18,3773.328369140625,3845.629327016442,3761.603889485087,3787.788608422818,3476284,TCS.NS
2024-04-19,3738.35009765625,3764.095194986128,3713.630939950349,3749.8792164299457,2957749,TCS.NS
2024-04-22,3775.868896484375,3788.961137129501,3724.4764968379727,3748.9024969484,1728883,TCS.NS
2024-04-23,3785.737060546875,3805.571021407845,3771.9609388664753,3788.033200094527,1807586,TCS.NS
2024-04-24,3743.089111328125,3808.501891125155,3736.6405519629534,3800.685571184416,1317312,TCS.NS
